Nama Produk,Produk ID,Harga tokped,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,1247420946,185700,Surabaya Osowilangun,3,0,3,0,0,0,0
Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,1247420946,185700,Medan Amplas,0,0,0,0,0,0,0
Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,1247420946,185700,Bandung Nasution,2,0,2,0,0,0,0
HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,3552582960,205000,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,3552582960,205000,Jakarta Cakung,124,0,119,5,0,0,0
HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,3552582960,205000,Surabaya Osowilangun,33,0,33,0,0,0,0
HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,3552582960,205000,Medan Amplas,0,0,0,0,0,0,0
HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,3552582960,205000,Bandung Nasution,1,0,1,0,0,0,0
Triple Pack: Tropicana Slim Orange Cocoa (4 Sch) - Tanpa Gula Pasir,6874309844,80100,Bandung Nasution,4,0,4,0,0,0,0
Triple Pack: Tropicana Slim Orange Cocoa (4 Sch) - Tanpa Gula Pasir,6874309844,80100,Jakarta Cakung,53,0,53,0,0,0,0
Triple Pack: Tropicana Slim Orange Cocoa (4 Sch) - Tanpa Gula Pasir,6874309844,80100,Surabaya Osowilangun,20,0,20,0,0,0,0
Triple Pack: Tropicana Slim Orange Cocoa (4 Sch) - Tanpa Gula Pasir,6874309844,80100,Medan Amplas,0,0,0,0,0,0,0
Twin Pack - HiLo Gold Original (Plain) 500 gram - Susu Tinggi Kalsium,9388274597,190000,Bandung Nasution,0,0,0,0,0,0,0
Twin Pack - HiLo Gold Original (Plain) 500 gram - Susu Tinggi Kalsium,9388274597,190000,Jakarta Cakung,4,0,4,0,0,0,0
Twin Pack - HiLo Gold Original (Plain) 500 gram - Susu Tinggi Kalsium,9388274597,190000,Surabaya Osowilangun,0,0,0,0,0,0,0
